Part;Value;Device;Package;Description;MANUFACTURER_PART_NUMBER;MF;MPN;OC_FARNELL;OC_NEWARK;PROD_ID;TP_SIGNAL_NAME;VALUE;VENDOR
3.3V;PTR1PAD1-13;PTR1PAD1-13;P1-13;TEST PIN;;;;;;;;;
5V;PTR1PAD1-13;PTR1PAD1-13;P1-13;TEST PIN;;;;;;;;;
APA102_C2;1000uF;CPOL-USD/7343-31W;D/7343-31W;POLARIZED CAPACITOR, American symbol;;;;;;;;;
APA102_DATA_IN;PTR1PAD1-13;PTR1PAD1-13;P1-13;TEST PIN;;;;;;;;;
APDS_INT;PTR1PAD1-13;PTR1PAD1-13;P1-13;TEST PIN;;;;;;;;;
APDS_SCL;PTR1PAD1-13;PTR1PAD1-13;P1-13;TEST PIN;;;;;;;;;
APDS_SDA;PTR1PAD1-13;PTR1PAD1-13;P1-13;TEST PIN;;;;;;;;;
C1;220uF;CAP_POL1206-KIT;EIA3216-KIT;Capacitor Polarized;;;;;;;;;
C2;0.1uF;CAP0603-CAP;0603-CAP;Capacitor;;;;;;;;;
C3;4.7pF;CAP0603-CAP;0603-CAP;Capacitor;;;;;;;;;
C4;100uF;CPOL-USB/3528-21R;B/3528-21R;POLARIZED CAPACITOR, American symbol;;;;;;;;;
C5;1uF;CAP0603-CAP;0603-CAP;Capacitor;;;;;;;;;
C6;1uF;CAP0603-CAP;0603-CAP;Capacitor;;;;;;;;;
